Unnamed: 0,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,DSLR Allowed,Number of google review in lakhs,Best Time to visit
250,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,1.0,4.7,0,No,,No,0.49,All
251,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,2.0,4.3,0,Yes,,Yes,0.032,All
252,Andhra Pradesh,Anantapur,Lepakshi,Site,1.5,4.6,0,No,,Yes,0.075,All
253,Andhra Pradesh,Kurnool,Belum Caves,Cave,1.5,4.4,65,Yes,,Yes,0.11,Afternoon
254,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,1.0,4.7,0,Yes,,No,0.041,All
255,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,1.0,4.4,10,Yes,,Yes,0.7,All
256,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,1.5,4.5,0,No,,Yes,0.015,Morning
257,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1.0,4.7,0,Yes,,Yes,0.12,All
258,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,1.0,4.7,0,Yes,,No,0.59,All
259,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,2.0,4.5,0,Yes,,Yes,0.019,All
260,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,1.0,4.6,40,Yes,,Yes,0.49,All
261,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,2.0,4.5,60,No,,Yes,0.31,Afternoon
262,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,1.0,4.6,0,Yes,,Yes,0.059,All
263,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,2.0,4.1,20,Yes,Monday,Yes,0.25,Afternoon
264,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,1.0,3.8,20,Yes,,Yes,0.03,All
265,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1.0,4.3,10,Yes,,Yes,0.065,All
266,Sikkim,Gangtok,Nathula Pass,Hill,2.0,4.3,20,Yes,,Yes,0.15,Afternoon
267,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1.0,4.6,20,No,,No,0.015,Morning
268,Sikkim,Namchi,Char Dham,Religious Complex,2.0,4.7,50,Yes,,No,0.12,All
269,Sikkim,Gangtok,Rumtek Monastery,Monastery,1.0,4.6,10,Yes,,No,0.035,Morning
270,Sikkim,Ravangla,Buddha Park,Park,1.0,4.8,50,Yes,,Yes,0.1,All
271,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1.0,4.7,0,Yes,,No,0.075,All
272,Sikkim,Gangtok,Tsomgo Lake,Lake,2.0,4.5,0,Yes,,Yes,0.15,Morning
273,Assam,Guwahati,Kamakhya Temple,Temple,2.0,4.6,0,Yes,,No,0.21,All
274,Assam,Kaziranga,Kaziranga National Park,National Park,3.0,4.5,650,No,,No,0.068,Morning
275,Assam,Guwahati,Umananda Island,Island,1.0,4.1,0,Yes,,Yes,0.01,Morning
276,Assam,Sivasagar,Sivasagar Sivadol,Temple,1.0,4.7,0,No,,Yes,0.065,All
277,Assam,Majuli,Majuli Island,River Island,2.0,4.7,0,No,,Yes,0.01,Morning
278,Assam,Manas,Manas National Park,National Park,3.0,4.6,500,No,,Yes,0.19,Morning
279,Assam,Hajo,Hayagriva Madhava Temple,Temple,1.0,4.5,0,No,,Yes,0.9,All
280,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,2.0,4.4,500,Yes,,Yes,0.037,All
281,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,2.0,4.7,0,No,,No,0.032,Morning
282,Tripura,Agartala,Ujjayanta Palace,Palace,1.5,4.5,10,Yes,Monday,Yes,0.035,All
283,Tripura,Dumboor,Dumboor Lake,Lake,1.0,4.5,0,No,,Yes,0.01,Morning
284,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,1.5,4.5,20,No,,Yes,0.025,Morning
285,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,1.5,4.6,0,No,,Yes,0.19,Morning
286,Nagaland,Dzükou Valley,Dzükou Valley,Valley,3.0,4.7,0,No,,Yes,0.01,Afternoon
287,Puducherry,Puducherry,Promenade Beach,Beach,1.0,4.5,0,Yes,,Yes,0.09,Morning
288,Puducherry,Auroville,Auroville,Township,2.0,4.1,0,Yes,,Yes,0.035,All
289,Puducherry,Puducherry,Paradise Beach,Beach,1.0,4.5,200,Yes,,Yes,0.015,Morning
290,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1.5,4.7,30,Yes,Monday,Yes,0.12,Afternoon
291,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,1.0,4.8,0,No,,Yes,0.09,Morning
292,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,1.0,4.5,0,No,,Yes,0.04,Morning
293,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,1.5,4.4,250,No,,Yes,0.015,Morning
294,Daman and Diu,Diu,Naida Caves,Cave,1.0,4.5,0,No,,Yes,0.6,Afternoon
295,Daman and Diu,Diu,Diu Fort,Fort,1.5,4.6,0,No,,Yes,1.2,Afternoon
296,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,1.0,4.7,0,Yes,,Yes,1.8,All
297,Jharkhand,Ranchi,Pahari Mandir,Temple,1.0,4.6,0,Yes,,Yes,0.13,All
298,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,1.5,4.7,0,Yes,,Yes,0.2,All
299,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,2.5,4.3,30,Yes,,Yes,0.5,All
300,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,1.0,4.7,0,Yes,,Yes,0.25,All
301,Bihar,Patna,Budhha Smriti Park,Park,1.0,4.4,10,Yes,,Yes,0.31,All
302,Haryana,Gurugram,Kingdom of Dreams,Entertainment,3.0,4.4,1100,Yes,Monday,Yes,0.3,Afternoon
303,Haryana,Gurugram,Ambience Mall,Mall,2.0,4.6,0,Yes,,Yes,1.2,Afternoon
304,Haryana,Gurugram,DLF CyberHub,Commercial Complex,2.0,4.7,0,Yes,,Yes,0.71,Afternoon
305,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,1.0,4.8,0,Yes,,Yes,1.05,All
306,Uttarakhand,Kedarnath,Kedarnath,Temple,1.5,4.8,0,No,,No,2.0,All
307,Uttar Pradesh,Noida,DLF Mall of India,Mall,2.0,4.6,0,Yes,,Yes,1.5,All
308,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,2.0,4.2,0,Yes,,Yes,0.45,All
309,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4.0,4.5,890,Yes,,Yes,0.95,All
310,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,3.0,4.4,50,Yes,Monday,Yes,0.81,Afternoon
311,Karnataka,Bengaluru,Orion Mall,Mall,2.0,4.5,0,Yes,,Yes,1.8,All
312,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2.0,4.5,0,Yes,,Yes,1.2,All
313,Delhi,New Delhi,Jama Masjid,Mosque,1.0,4.5,0,Yes,,Yes,0.49,All
314,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.7,0,Yes,,No,0.1,All
315,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2.0,4.6,1500,Yes,Sunday,Yes,7.4,All
316,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2.0,4.6,0,Yes,,Yes,0.35,All
317,Kerala,Kochi,LuLu International Shopping Mall,Mall,3.0,4.6,0,Yes,,Yes,1.9,All
318,Delhi,New Delhi,Rail Museum,Museum,2.0,4.4,50,Yes,Monday,Yes,0.24,Morning
319,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,2.0,4.6,0,No,,Yes,0.06,Morning
320,Gujarat,Gandhinagar,Akshardham,Temple,3.0,4.6,0,Yes,Monday,No,0.18,All
321,Uttar Pradesh,Agra,Agra Fort,Fort,2.0,4.5,40,Yes,,Yes,1.3,Afternoon
322,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2.0,4.7,10,Yes,Monday,Yes,0.15,All
323,Rajasthan,Jaipur,City Palace,Palace,2.0,4.4,200,Yes,,Yes,0.51,Morning
324,Rajasthan,Jaipur,Albert Hall Museum,Museum,2.0,4.5,200,Yes,,Yes,0.63,All
