address,area,city,guest_recommendation,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,site_review_count,site_review_rating,site_stay_review_rating,state,uniq_id,average_price
"The Ridge, Near Christ Church",Main Town,Shimla,78.0,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Fax Machine|Electronic / Magnetic Keys|Vegetarian Food / Jain Food Available|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Internet / Fax (Reception area only)|Internet Access|Room Service|CCTV,3,31.102091,77.1775677,Shiwalik Regency,Hotel,300.0,3.7,Service Quality::3.8|Amenities::3.6|Food and Drinks::3.9|Value for Money::3.7|Location::3.7|Cleanliness::4.0,Himachal Pradesh,a88ccbca2b253d417354eac0b595eef1,4000
"223,Manekbaug Society,On Manekbaug Post Office,Opp Water Tank,Manekbaug",Ring Road,Ahmedabad,,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Wake-up Call / Service|Smoking Rooms|Room Service,0,23.016721,72.5425611,Spectrum Hospitality Satellite,Service Apartment,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Gujarat,fa39491d3c2100b099d7db4283bf1d6b,800
"PB No 52, Letchmi Estate, Munnar",Letchmi Estate,Munnar,,Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Kitchen available (home cook food on request)|Newspapers In Lobby|Parking Facility,1,10.08439619,76.9051265577,Snow Drops Homestay,Homestay,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Kerala,e1445dc8454ec29f04890d24e8865b37,1500
"bye pass road, tirupati",Main Town,Tirupati,0.0,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Public Restrooms,1,13.6739092,79.3511379,Shri Sai Tirumala,Hotel,2.0,1.0,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::2.0|Cleanliness::1.0,Andhra Pradesh,94c40390829106ad2aa0b6f62a90727f,1500
"No 345-A, Ooty Main Road Mettupalayam  Coimbatore",Ooty Main Road,Mettupalayam,67.0,Bar / Lounge |Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Wake-up Call / Service|Open Air Restaurant / Dining |Car Rental|Taxi Services| Drivers Rest Room|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Restaurant,2,11.303907175,76.9373282742,Soorya International,Hotel,87.0,3.3,Service Quality::3.1|Amenities::3.1|Food and Drinks::3.3|Value for Money::3.2|Location::3.4|Cleanliness::3.4,Tamil Nadu,1e1e6c2946da6e70a1ac0572d6d4e190,2600
"No.8, N.A.L. Wind Tunnel Road , Murgesh Palya, Near H.A.L Airport Road","Old Airport Road, Hal",Bangalore,78.0,Doctor on Call|Laundry Service Available|Local Tour / Travel Desk|Major Credit Cards Accepted|Internet Access|Room Service,2,12.9517694,77.6653692,Srinidhi Residency,Hotel,66.0,4.0,Service Quality::4.0|Amenities::3.9|Food and Drinks::3.7|Value for Money::4.0|Location::4.0|Cleanliness::3.7,Karnataka,1a28f6ed3606ed31bb7e01d5e515dcbe,2600
"PP ROAD, PATTIMATTOM, COCHIN",Others,Ernakulam,,Airport Transfer Available / Surcharge|Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Separate Sitting Area|Smoking Rooms|Picnic Area|Massage Services |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Parking Facility|Room Service|Ayurvedic Facilities |Fire Safety|CCTV|First-Aid Kit at Front Desk|Public Restrooms|Security at All Hotel Entrances|Suites,0,10.0267541587,76.4496084823,Silversteps Furnished Apartments,Service Apartment,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Kerala,4bcd29c5bfe3cc29b7469e551c8b0193,800
"D.22/16, Chausatti Ghat,  Dashaswamedh, Varanasi, Up, India",Dasaswamedh Ghat,Varanasi,,Doctor on Call|Laundry Service Available|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Separate Sitting Area|Room Service|Fire Safety|First-Aid Kit at Front Desk|Public Restrooms,3,25.305374,83.0105964,SITA GUEST HOUSE,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Uttar Pradesh,f9f617b8abc84f1fb65d308ec3201f42,4000
"Rampur Kedarnath Mg,Rudraprayag H O","Rampur Kedarnath Mg,Rudraprayag H O",Rudraprayag,,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|First-Aid Kit at Front Desk,0,30.2844141,78.9811407,Shivshakti Hotel,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Uttarakhand,2bcd95fb883b75fab8e2cd853f72fb4e,800
"29/31, Ranga Pillai St",Others,Pondicherry,,Doctor on Call|Parking Facilities Available|Front Desk|Room Service (24 Hours)|Fire Exit Signs,2,11.9348578,79.8304135,Sri Krishnas Guest House,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Pondicherry,27be9cad8a6308bb19797550458db62d,2600
"Devka Beach Road, Bhimpore Char Rasta, Daman HO, Daman - 396210, Next to Ambica Wines, Bhimpore	(Map)",Devka Beach Road,Daman,,Doctor on Call|Dry Cleaning|Lobby|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,0,20.453889,72.8396534,SHRI AMBICA HOTEL,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Gujarat,3fe508a4c893f8222f083b01fee84040,800
"Chakratirtha Road, Puri Ho, Near Sonar Gauranga",Chakratirtha Road,Puri,,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Laundry Service Available|Non Smoking Rooms|Front Desk|24 Hour Front Desk,0,19.8025512,85.8411798,Sri Puri Palace Guest House,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Orissa,d09c21cb1dbedfddfa1a133914e8c350,800
"No 16, Sabne Road Mahableshwar",Main Town,Mahabaleshwar,75.0,Airport Transfer Available / Surcharge|Doctor on Call|Gift Shop |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Power Backup|Car Rental|Food Facility|Courier Service|Parking Facility|Room Service,0,17.9245364377,73.657906667,Sonu Regency,Hotel,8.0,3.6,Service Quality::3.8|Amenities::3.8|Food and Drinks::3.0|Value for Money::3.8|Location::4.0|Cleanliness::3.0,Maharashtra,bb2a1d8dee3aa0aee9c07629b20c7287,800
"C-241, Sector-44,Noida",Sector 44,Noida,73.0,Power Backup|Taxi Services|Parking Facility|Internet Access,0,28.5531502006,77.332853154,Sovereign Residency,Guest House,15.0,4.6,Service Quality::4.5|Amenities::4.4|Food and Drinks::4.8|Value for Money::4.6|Location::4.6|Cleanliness::4.8,Uttar Pradesh,0a44ff39a538ad12f3d51575f013728a,800
"5, Old RTO Compound, Latouche Road, Hazratganj",Hazratganj,Lucknow,,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Parking Facility|Restaurant|Room Service|Public Restrooms,0,26.8435087,80.9279081,Simla Palace Hotel,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Uttar Pradesh,a7cdd216beffebd5073eab08e37d05fe,800
"No. 106 - 62 Ellalamman, Colony 5th street, Behind STELLAMARIS Collage, cathedral road chennai 86",Chennai City Centre,Chennai,,Doctor on Call,0,13.0414559,80.2520162,Sm homes,Service Apartment,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Tamil Nadu,11de4ad88751b4718927fc34b7f93bd2,800
"D.No:22-1-37, PR College Road,Shanthi Bhavan Complex, R R Road, Kakinada - 01",,Kakinada,,Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Board Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Airport Transfer Free|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms,0,16.9553658478,82.2303630353,Sri Shantinivas lodge,Lodge,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,2a0f7a373153525bdb9df2ef07c7be50,800
"Flat No 20, Happy Vally, Road No 10, Next to Income Tax Colony, Banjara Hills",Banjara Hills Area,Hyderabad,,Laundry Service Available|Lift / Elevator|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,17.4157064553,78.4313752058,"Skyla Serviced Apartments-RoadNo 10,Banjara Hills",Service Apartment,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,84a258b39567ef4551d1a453215ffe76,800
"Airport Road, Sitra.","Sitra, Avinashi Road",Coimbatore,80.0,"Currency Exchange|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Wake-up Call / Service|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking (Surcharge)|Courier Service|Internet / Fax (Reception area only)|Parking Facility|Room Service|Public Restrooms",2,11.0371346791,77.0377591936,Skylite hotels,Hotel,111.0,4.0,Service Quality::3.9|Amenities::3.9|Food and Drinks::4.0|Value for Money::4.0|Location::4.2|Cleanliness::4.2,Tamil Nadu,40f40fbbcd5f47a044edaf92b55d664b,2600
"273, 6th Main Rd, Indira Nagar III Stage, Motappapalya, Indiranagar, Bengaluru, Karnataka",Indiranagar,Bangalore,66.0,Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Food Facility|Internet Access Free,0,12.9733494,77.6386591,Social Rehab,Hostel,3.0,4.5,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,Karnataka,29c0f045ffdc7655c212711403485c6b,800
"3 Shivaalik, Sector 61 Noida (Near Sai Temple)",Others,NOIDA,100.0,Laundry Service Available|Parking Facilities Available|Power Backup|Gardens|Internet Access Free|Outdoor Parking - Secured|Room Service,2,28.5960875,77.3683319,SPARSH INN,Guest House,4.0,4.8,Service Quality::4.8|Amenities::4.8|Food and Drinks::4.8|Value for Money::4.8|Location::4.8|Cleanliness::4.8,Uttar Pradesh,717018cfaeb5811150490ef3e76586cb,2600
"Wairy Bhuthnath,Near Bhuthnath Temple Tarkarli Beach road  Malvan (416606) Maharashtra, India",Tarkarli Beach,Malwan,,,0,16.0630693,73.471054,SP Beach Resort,Homestay,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Maharashtra,5eb5488386377bcc08d73eb337c71cf4,800
"Flat No 152a, 152b, South Mada Street, Tirupati Ho, Tirupati - 517501, Near Govindha Raju Swamy Temple",G N Mada Street,Tirupati,,Air-Conditioning - Central|Extra Person / Child - Share the same room|Internet Access Free|Family Room|Fire Safety,1,13.6287557,79.4191795,SRI GURU SRINU RESIDENCY,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,f59bd81dcb518472de4e0fda4a676030,1500
"House No 9-23 Sri Ganesh Complex, Lalitha Nagar, Dilsukh Nagar, Hyderabad",Others,Hyderabad,,Airport Transfer Available / Surcharge|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Room Service|Public Restrooms,0,17.3687826,78.5246706,Sri Ganesh Comforts,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,1bc6a80a8028efcb3651657776b5f298,800
"Main Road, Kollur",Main Road,Kollur,,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Doorman|Power Backup|Family Room|Room Service (24 Hours)|Baggage Room|Parking Facility|Room Service|First-Aid Kit at Front Desk,0,16.986309,78.0485379,Shri Ratna Guest House,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Karnataka,2f10d393b43b8d06ad9092bb5d5ae28b,800
malviya chowk panchvati nashik,Nashik Main Town,Nashik,100.0,Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Wake-up Call / Service|Nature Walk|Veranda|Water Dispenser Available|Internet Access Free|Family Room|Room Service (24 Hours)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,0,20.0139048,73.8106232,SINGHANIA GUEST HOUSE,Guest House,3.0,5.0,Service Quality::4.7|Amenities::4.7|Food and Drinks::5.0|Value for Money::4.7|Location::4.7|Cleanliness::5.0,Maharashtra,18731cc4a15955211633062c939c3f2b,800
Soudhamini Estate Hosallipet,Mallandur,Chikmagalur,100.0,Games Zone|Health Club / Gym Facility Available|Parking Facilities Available|Local Tour / Travel Desk|Welcome Drinks|Power Backup|Room Service,0,13.315258,75.7754018,Soudhamini Homestay,Homestay,1.0,5.0,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,Karnataka,5b13708b74ad237f077a9c46ae92771a,800
"No.1/7, Dr Modi Road, West Of Chord Road, Rajajinagar, Bangalore - 560010, Near Modi Hospital	 (Map)",Malleswaram,Bangalore,0.0,Doctor on Call|Parking Facilities Available|Front Desk|Outdoor Parking - Secured|Parking Facility,0,12.9827352,77.5492213,sri Balaji Residence,Hotel,1.0,1.0,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::1.0|Cleanliness::1.0,Karnataka,3de3f792d0bded31b5fc34ca176d559a,800
Manali  Prini V.P.O. Prini village Hamta Road Near Club Mahindra Teh Manali,Village Prini,Manali,0.0,Doctor on Call|Lobby|Parking Facilities Available|Room Service,3,32.2415294,77.1888121,SILVER BIRCH COTTAGE,Cottage,1.0,5.0,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,Himachal Pradesh,a0a707bcd33d6168bf39638bf9adf16b,4000
"80/1,Usman Road, T.Nagar,Opp.Ranganathan Street",Usman Road,Murudeshwar,,Doctor on Call|Front Desk|Parking Facility|Room Service|Public Restrooms,0,13.044207,80.2323287,Shri Ganesh Bhavan,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Karnataka,2f1f9d5e9b1f8d1c590dcfb8291bebde,800
"No.17, Johnson Street, Behind Hindu Mission Hospital West Tambaram",Guindy,Chennai,70.0,Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Local Tour / Travel Desk|Air-Conditioning - Central,0,12.9229208,80.1134188,Sikara Service Aparment ( Tambaram),Service Apartment,24.0,3.6,Service Quality::3.6|Amenities::3.3|Food and Drinks::3.4|Value for Money::3.8|Location::3.6|Cleanliness::3.3,Tamil Nadu,160dc760b4bb290bbadd3247c0a158f1,800
"N.H.8, Near Private Bus Stand, Opp. Police Station, Nathdwara",Opp. Police Station,Nathdwara,76.0,Doctor on Call|Lobby|Newspapers In Lobby,2,24.9291411,73.8213213,Shrinath Inn,Hotel,13.0,4.0,Service Quality::3.8|Amenities::3.8|Food and Drinks::3.6|Value for Money::3.8|Location::4.2|Cleanliness::4.4,Rajasthan,cacee501e67f4683f459a25e6723745c,2600
"Sri Venkateswara Hotel Temple Street, Near Police Station, Opp. Tanisha Marriage Hall, Bhadrachalam, District Khammam, Telangana 507111",Opposite Thanisha Kalyana Mandapam,Bhadrachalam,,Doctor on Call|ATM / Banking|Family Room|STD / ISD|Public Restrooms,1,17.6687912,80.8935925,SRI  VENKATESWARA HOTEL,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,3ce5059f08274e8f04e4d6480455a8d5,1500
"Bangriposi, Hanada, NH6, Bangriposi",Bangriposi,Mayurbhanj,,Doctor on Call|Medical Assistance Available|Wake-up Call / Service|Parking Facility,0,22.0086978,86.4187308,SIMILIPAL KHAIRI RESORT,Resort,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Orissa,d41f895821e6f2e587ee58214bcc827f,800
"No : 2739 chandraguptha road,near sangam theater halladakeri mysore",Bus Stand/Railway Station Area,Mysore,,Business Center |Currency Exchange|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|24 Hour Front Desk|Power Backup|Car Rental|Family Room|Parking Facility|Room Service|CCTV,0,12.310332135,76.6577527692,SHREYAS DELUX LODGE,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Karnataka,c707a2d367347981e4308f5a3fb794ab,800
"B 3/260, Shivala",Assi Ghat,Varanasi,72.0,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,25.2913323667,83.005729281,Shree Hare Rama Hare Krishna Guest House,Guest House,37.0,4.0,Service Quality::4.0|Amenities::4.0|Food and Drinks::2.9|Value for Money::4.2|Location::4.0|Cleanliness::3.1,Uttar Pradesh,f62ca85f35e9f6c439c211fd72f8d985,800
"Plot No 122, Dhuleshwar Garden, Gate No 3,Hathroi , Ajmer Road , Jaipur",J L N Marg,Jaipur,,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available,0,26.9149457,75.7956129,SHREE RESIDENCY,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Rajasthan,9db1c63acbcc2b384bd4d2baa86b0795,800
"B 3/226, Shivala, Near Chet Singh Fort, Varanasi, Uttar Pradesh 221001",Assi Ghat,Varanasi,70.0,Banquet Facilities|Billiards|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Catering|Wake-up Call / Service|Separate Sitting Area|Smoking Rooms|ATM / Banking|Kitchen available (home cook food on request)|Boating|Nature Walk|Open Air Restaurant / Dining |Transfers Available|Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Rooftop Garden|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Spa Services Nearby|Parking (Surcharge)|Air / Rail Booking|RO Water Purification System|Outdoor Parking - Secured|Parking Facility,0,25.2946109346,83.0051106983,Shree Sai Kripa Guest House,Hotel,17.0,3.6,Service Quality::3.5|Amenities::3.4|Food and Drinks::3.1|Value for Money::3.8|Location::3.4|Cleanliness::3.4,Uttar Pradesh,3d243f4165f5fe244e80291a9dd2af4e,800
Amarkantak Road Amadob,Amadobh,Amadob,100.0,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Power Backup|Gardens,0,22.6822292,81.7532219,Sonbhadra Tourist Resort,Resort,2.0,4.3,Service Quality::3.8|Amenities::4.5|Food and Drinks::4.0|Value for Money::4.5|Location::4.5|Cleanliness::4.0,Chhattisgarh,5ba047b858e1f66a7a35e796df03edc0,800
"kanyal road, simsa",Village Simsa,Manali,100.0,Banquet Facilities|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|ATM / Banking|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,32.2370955157,77.1850278037,Snow Crown Cottage,Cottage,1.0,4.6,Service Quality::4.6|Amenities::4.6|Food and Drinks::4.6|Value for Money::4.6|Location::4.6|Cleanliness::4.6,Himachal Pradesh,89d7b2030a25d24bb5ee98dc69461f93,800
Shubham Complex Sector 11 C Wing Plot 1 and 3 New Panvel,Panvel,Panvel,,Doctor on Call|Front Desk|24 Hour Front Desk|Room Service (24 Hours),0,18.9979191,73.1214988,Shubham Holiday Inn,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Maharashtra,502261b1b995ca9683c21ea3fb7011cd,800
"1. New Fatehpura , Panchwati",New Fatehpura,Udaipur,,Business Center |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Power Backup|Veranda|Transfers Available|Food Facility|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,0,24.6040311,73.688307,Sisodiya Hotel,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Rajasthan,064c3b51b26f210b002d315db65746b6,800
"19/5, East Muniappan Kovil Street, salem-namakkal main road Tiruchengode Nammakkal(DT),",Anna Statue Area,Tiruchengode,85.0,Banquet Facilities|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Express Check-In / Check-Out|Wedding Services Facility|Catering|Multi Lingual Staff|Wake-up Call / Service|Electronic / Magnetic Keys|Picnic Area|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Paid Transfers|Pest Control Facility|Porter Services Available|Public Restrooms|Suites,2,11.3832879281,77.8987967633,Sri Balaji Hotels,Hotel,7.0,3.9,Service Quality::3.8|Amenities::3.7|Food and Drinks::5.0|Value for Money::4.1|Location::3.8|Cleanliness::5.0,Tamil Nadu,827b9e4681dabe4f5c6c49ad8b898f44,2600
"Vinayagar Mangalgiri Apartments Road no 10, City Near Center Mall, Banjara hills",Banjara Hills Area,Hyderabad,,Doctor on Call|Lobby|Front Desk|Power Backup|RO Water Purification System,3,17.4138055,78.4489848,Skyla Serviced Apartments - Banjara hills,Service Apartment,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,ce4d67494ba3d7b92b99afa9ddd13d48,4000
"Shoba Residency #253,Hennur Main Road(Near Hennur Bus Depot), HBR Layout,2nd Block,Stage 1,Kacharakanahalli, Kalyan Nagar,Bangalore-43",Kammanahalli,Bangalore,92.0,Airport Transfer Available / Surcharge|Banquet Facilities|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Power Backup|Wake-up Call / Service|Conference Facility |Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Parking Facility|Internet Access|Room Service,2,13.0252482311,77.6312419083,Shoba Residency,Hotel,14.0,4.3,Service Quality::4.1|Amenities::4.1|Food and Drinks::4.2|Value for Money::3.9|Location::4.3|Cleanliness::4.8,Karnataka,c6cd12da73e3aa95cd6682eff688e834,2600
"#51/1,Near APSRTC Bus stand, Bellary Road",New Bus Stand Road,Kurnool,89.0,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Power Backup|Parking Facility|Internet Access|Restaurant|Room Service,3,15.8281257,78.0372792,Sign Regency Hotel,Hotel,149.0,4.2,Service Quality::4.1|Amenities::4.2|Food and Drinks::4.2|Value for Money::4.3|Location::4.3|Cleanliness::4.4,Andhra Pradesh,110b7dd48d9d8bcf664dde5990a283a5,4000
"N.H.8, Nathuwas,",Nathuwas Nh8,Nathdwara,,Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Smoking Rooms|Nature Walk|Veranda|Extra Person / Child - Share the same room|Water Dispenser Available|Food Facility|Room Service (24 Hours)|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Full Time Operation for All 7 Days|Public Restrooms,0,24.9291411,73.8213213,Shreeji Resort,Resort,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Rajasthan,2493a7345ac8567f52b330ec2b32d5ca,800
